Lat of Visit,Lon of Visit,Day of Week,Hour,Day,traj_id,user_id
-0.077732949,0.088319637,Mon,0,9/7/2020,0,0
-0.03550478,-0.046849697,Mon,1,9/7/2020,0,0
-0.033341011,-0.046559379,Mon,2,9/7/2020,0,0
-0.050954229,-1.631177248,Mon,3,9/7/2020,0,0
-2.936773815,0.089542431,Mon,4,9/7/2020,0,0
0.431066008,0.086664659,Mon,5,9/7/2020,0,0
-1.634443912,-0.786018448,Mon,6,9/7/2020,0,0
0.42942366,0.61736833,Mon,7,9/7/2020,0,0
-1.663005089,-0.322814948,Mon,8,9/7/2020,0,0
0.043169215,0.618454349,Mon,9,9/7/2020,0,0
0.443061226,1.344887202,Mon,10,9/7/2020,0,0
-0.046486521,-1.626504507,Mon,11,9/7/2020,0,0
-1.256680689,0.503846165,Mon,12,9/7/2020,0,0
-0.702851484,-0.278819213,Mon,13,9/7/2020,0,0
0.824686949,-0.318196923,Mon,14,9/7/2020,0,0
-0.034324543,-0.04645051,Mon,15,9/7/2020,0,0
0.446317055,-0.061709921,Mon,16,9/7/2020,0,0
-0.053718415,0.087920123,Mon,17,9/7/2020,0,0
0.070917415,-0.314471716,Mon,18,9/7/2020,0,0
-0.04971198,-0.785833954,Mon,19,9/7/2020,0,0
0.431542819,0.268059897,Mon,20,9/7/2020,0,0
-0.061456874,0.089686636,Mon,21,9/7/2020,0,0
-0.45843949,-0.31210113,Mon,22,9/7/2020,0,0
-1.256266677,1.344493056,Mon,23,9/7/2020,0,0
0.027672696,-0.047023527,Tue,0,9/8/2020,1,0
-0.458225794,-0.0479021,Tue,1,9/8/2020,1,0
0.061956223,0.268874975,Tue,2,9/8/2020,1,0
-0.038061962,0.567349815,Tue,3,9/8/2020,1,0
-0.45737101,-0.3053896,Tue,4,9/8/2020,1,0
0.02530264,0.265207124,Tue,5,9/8/2020,1,0
-0.741137003,0.616453788,Tue,6,9/8/2020,1,0
-0.013080264,-0.058372104,Tue,7,9/8/2020,1,0
0.825290224,-0.316749942,Tue,8,9/8/2020,1,0
-0.45924085,0.265444855,Tue,9,9/8/2020,1,0
-0.059372416,0.381131248,Tue,10,9/8/2020,1,0
-0.065974141,0.610166308,Tue,11,9/8/2020,1,0
0.028219632,0.089643618,Tue,12,9/8/2020,1,0
0.031865872,0.568555483,Tue,13,9/8/2020,1,0
-0.45897373,0.087216319,Tue,14,9/8/2020,1,0
-0.044517123,0.568452873,Tue,15,9/8/2020,1,0
0.030042752,0.568444322,Tue,16,9/8/2020,1,0
-1.256597886,0.08760248,Tue,17,9/8/2020,1,0
0.608099447,0.083774225,Tue,18,9/8/2020,1,0
-1.256657031,0.249967529,Tue,19,9/8/2020,1,0
-0.064084084,-0.046160192,Tue,20,9/8/2020,1,0
-0.055697359,-0.321398754,Tue,21,9/8/2020,1,0
-0.048921458,0.264833546,Tue,22,9/8/2020,1,0
-0.102508009,-1.628033508,Tue,23,9/8/2020,1,0
-0.45897373,0.569111288,Wed,0,9/9/2020,2,0
0.60925214,0.56750373,Wed,1,9/9/2020,2,0
-0.103562267,-0.055034287,Wed,2,9/9/2020,2,0
-0.050615434,-0.316041844,Wed,3,9/9/2020,2,0
-0.113298276,-0.784844395,Wed,4,9/9/2020,2,0
-1.256597886,0.618240004,Wed,5,9/9/2020,2,0
0.431383882,0.085009682,Wed,6,9/9/2020,2,0
0.823539545,-0.047720651,Wed,7,9/9/2020,2,0
0.443956579,0.567520832,Wed,8,9/9/2020,2,0
0.605409829,0.090155303,Wed,9,9/9/2020,2,0
0.446181395,-1.876480015,Wed,10,9/9/2020,2,0
-0.058178794,-0.180702919,Wed,11,9/9/2020,2,0
0.824580489,-1.819702443,Wed,12,9/9/2020,2,0
-0.459294274,0.617039667,Wed,13,9/9/2020,2,0
-0.053969704,-2.345485647,Wed,14,9/9/2020,2,0
0.849593492,-0.090415146,Wed,15,9/9/2020,2,0
